feature	cluster	vt_score
ANKRD35	4	2.6660644857157916
ANKRD55	1	2.0536883148824905
ANKRD60	1	2.3065492582304348
ANKRD63	1	2.8042274644634535
ANKRD7	1	2.5203688650894636
ANKS4B	1	4.153341301388162
ANKUB1	5	2.6164409925221324
ANLN	3	3.050779205297557
ANO1	3	2.28740769840492
ANO9	1	2.067075911455521
ANP32D	1	2.9582651955450983
ANPEP	3	2.1991623019043973
ANTXR2	3	3.486495678945804
ANTXRL	1	2.6859080288548207
ANXA13	5	3.0310537264624764
ANXA3	1	2.5505700715231656
ANXA8	1	2.5587182481445963
AOC1	1	2.463647959645336
AOX1	5	2.002783757235345
AP000295.1	2	2.6180626023806464
AP000311.1	1	2.4030557786227305
AP000721.1	4	3.3517243485346335
AP000781.2	2	2.1388937575851754
AP001160.5	1	2.147052699164156
AP002373.1	3	3.1916544878330084
AP003419.2	4	2.688437077189939
AP3B2	1	3.232137487818364
APBA1	1	2.6584295970441296
APBB1IP	5	2.5901089164456708
APCDD1L	2	3.6440050245889184
APCS	1	2.014914090850038
APELA	3	2.0544993200771384
APLNR	5	3.778984728074239
APLP1	1	2.2554072072532128
APOA5	1	2.058550228621341
APOB	5	2.7322468572555967
APOBEC2	1	2.2516764925435218
APOBEC3A	1	3.5535087113799673
APOBEC3B	3	4.167491869025604
APOBEC3C	3	2.39865296416916
APOBEC3G	5	2.0547847447651555
APOBEC3H	5	3.474609085946943
APOBEC4	4	2.2309043418972467
APOC1	5	2.4952185745845883
APOC2	5	2.9227418248932096
APOC3	3	2.188408085790554
APOC4-APOC2	1	2.003884571039073
APOD	2	2.156725445590864
APOE	5	2.972650111657867
APOF	1	2.063704437985044
APOL4	5	2.8260651546204123
APOL6	5	3.919696893055647
AQP10	1	2.6607248758172335
AQP12B	1	2.0419049377637712
AQP4	4	3.0574125730945307
AQP6	1	2.2340931940917637
AQP7	1	3.2328012942652586
AQP8	1	2.541407237558916
ARAP3	2	3.459323366068235
AREG	5	2.040156897150764
ARFGEF3	1	3.2987732791141906
ARGFX	1	3.3748312125883366
ARHGAP11A	3	3.1516042789587346
ARHGAP15	1	2.203439968827692
ARHGAP18	2	3.9861613937931626
ARHGAP19	2	4.5280818759194705
ARHGAP20	1	2.081241453370489
ARHGAP22	1	2.5462459325026825
ARHGAP25	5	2.627226184262735
ARHGAP29	2	3.296599479406628
ARHGAP44	1	3.289352474690652
ARHGAP6	5	2.7408091859868957
ARHGAP8	1	3.440565068366785
ARHGDIB	5	2.2241627178857164
ARHGDIG	1	3.0473603631508195
ARHGEF15	1	2.1412168427041256
ARHGEF35	5	2.2431831920089995
ARHGEF37	4	2.1978148392500096
ARHGEF39	3	2.1870970545718746
ARHGEF5	5	2.2828030048166243
ARID5A	5	2.025971501422691
ARID5B	3	3.177604301886428
ARL14EPL	2	2.028832267858108
ARL4C	2	2.868407241497133
ARMC3	5	2.429118180635431
ARMS2	3	2.567690516446193
ARNTL2	3	2.2441971243961074
ARR3	1	3.5966699855235458
ARRB1	1	2.956516159227808
ARRDC5	1	3.7209411757284627
ARSH	1	2.3721497353625085
ARSI	2	2.6257034683920284
ARTN	1	4.959386041460442
ARX	1	2.2219527262377206
ASB11	1	3.2088904793682436
ASB14	1	3.0021619908474406
ASB15	1	2.4385353369615137
ASB17	1	3.100792725869698
ASB18	1	3.408202989256558
ASB2	5	2.399760243244338
ASB9	2	2.538954301830989
ASCL1	4	3.169447419849336
ASCL5	5	2.454394984950539
ASF1B	3	2.7295193906294157
ASIC1	4	2.0236550567118523
ASIC2	1	2.5351587570659375
ASIC4	2	2.1189768859093956
ASMT	4	2.192714915906619
ASPA	1	2.714935072658107
ASPDH	1	2.840924940957756
ASPG	1	2.5267722913890553
ASPHD1	1	3.084039483594535
ASPN	2	3.4723108050374063
ASPRV1	4	2.6863566798374254
ASRGL1	1	2.4489792816521065
ASTN2	5	3.4514127243690975
ASXL3	4	2.1485137578476317
ATAD3C	1	2.389507742233258
ATCAY	1	2.069910794824783
ATG9B	1	2.0802091833571406
ATOH1	1	2.77484097438494
ATOH7	1	4.166204126564521
ATP10B	2	2.165654339767644
ATP13A5	1	2.591768021989086
ATP1A2	4	3.4731200379346223
ATP1A3	1	4.159550602364026
ATP1B2	2	2.009398595943551
ATP1B4	5	2.737887365241321
ATP2A1	1	3.420977302402025
ATP2A3	1	2.6239971881766744
ATP2B2	1	3.082170826180236
ATP2B3	1	4.263314095111887
ATP2C2	1	2.5545245070582077
ATP4A	1	2.7488711147387357
ATP5EP2	3	2.220704819409489
ATP6V0A4	4	2.3172165534591143
ATP6V1B1	1	2.6865789858209412
ATP6V1G2-DDX39B	2	2.6929573913090197
ATP6V1G3	1	2.047194929744336
ATP8B3	3	2.606406743768738
ATP8B4	1	2.5143280498345724
ATRNL1	1	2.239884886360882
AUNIP	3	2.8147872447935387
AURKA	3	4.724941626963659
AURKB	3	3.0249735774885678
AVIL	1	2.8435471977799334
AVP	1	3.524661287035408
AVPR2	1	3.622205625289647
AZU1	1	3.369885530710594
B3GALT1	2	3.4633294551531733
B3GALT5	5	2.078689095239573
B3GAT2	4	3.661117432614684
B3GNT3	1	3.8198289667742054
