feature	cluster	vt_score
FBN3	3	-3.457058533285388
FBXO17	2	-2.045770214124606
FBXO27	3	-3.9976108927828884
FBXW4	3	-2.211177780494454
FCAR	3	-6.229198479539092
FCER1G	3	-6.954843567301431
FCGR1A	3	-7.788112220959852
FCGR1B	3	-8.099376955383798
FCGR3B	3	-6.257546931147114
FCMR	3	-5.95354965796773
FCN2	3	-2.0247615243345685
FCRL3	3	-2.415097130163251
FCRL6	3	-2.2083933370416333
FCRLA	4	-2.4396871065491994
FES	3	-3.3700366366216254
FETUB	3	-3.7659109792463172
FEV	2	-2.4670073792417133
FFAR1	3	-3.0687271466011152
FFAR4	3	-8.401286485983832
FGD2	3	-7.431296193428092
FGD3	3	-6.622094618683835
FGD5	3	-4.437900272096984
FGF1	3	-2.258617910419279
FGF21	2	-2.4164515646841673
FGF22	5	-2.495290390272325
FGF8	2	-2.8350280198419955
FGL1	3	-6.20817120908331
FGR	3	-6.698401266902612
FHAD1	3	-4.439053904941118
FHL2	4	-4.012014594388343
FHL5	3	-6.947767412616799
FIBCD1	3	-2.083389230906875
FILIP1	3	-4.650239382760933
FILIP1L	4	-3.2052751868868636
FKBP10	1	-3.904914687290538
FLG	2	-2.339977727288796
FLI1	3	-4.859703117740154
FLRT1	3	-5.8508496055431145
FLT1	3	-5.915451581269034
FLT3	3	-7.092313415025604
FMNL1	3	-5.6841602509801
FMO5	3	-3.4192011512454368
FMOD	4	-2.2931550324844125
FNDC11	4	-2.293851582729442
FNDC5	3	-3.7026704319692474
FOLH1	3	-4.002200114102243
FOLR2	3	-7.7631607023292375
FOSL2	4	-3.6079136793767685
FOXD4	3	-2.6183572579719088
FOXF1	3	-5.253652825501139
FOXL2	3	-3.06185270532567
FOXL2NB	3	-6.083057760891293
FOXO6	2	-3.5481432280087746
FRAS1	3	-2.357251894005036
FRG2B	2	-2.500735137038347
FRG2C	2	-2.624223722630239
FRK	3	-2.053684748903065
FRMD4B	3	-4.003964400884557
FRMPD1	3	-5.209757259215878
FRMPD4	3	-2.212639862689378
FRRS1L	3	-2.9585940446838515
FRZB	3	-3.9360818889893068
FSD1L	3	-3.6476935255923117
FSIP2	3	-2.2815629021204353
FTCDNL1	3	-5.481368751723285
FUT4	3	-2.937867940972902
FXYD1	3	-4.408689667635142
FXYD3	3	-4.234783701334484
FXYD5	4	-2.054930141880731
FYB1	3	-7.8273678892457585
FZD10	3	-5.193506972660703
GAB3	3	-3.802418706780411
GABBR1	3	-3.8890276657859917
GABRA2	3	-3.4693163426436593
GABRB1	3	-2.5351774324509755
GABRB3	3	-2.6236076692054864
